namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,9cd190b6-e64c-4173-b82b-e45bbf0b2dc1,3c387871-0619-43f5-8aaf-4c1a9849c740,16:34.2,17:24.7,50.491637,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,dddc3c81-03cb-4770-8d88-6550d6afa0d1,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,37fc2776-ddda-4908-9796-b2dc9b70d3a7,00f548b7-6b63-4b47-828e-8e416b6ca0e2,24:46.4,26:18.1,91.664027,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,b70f191f-9014-4d22-9630-bf7e86749006,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,167dc0c5-1445-4e44-9d10-4b77c057f567,570cd855-dfc7-4afd-9930-f45285d207bc,53:40.1,54:04.9,24.788937,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,0e237cac-4dc7-4486-97b2-68112617ff50,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,5446f5e0-53d5-4c3b-8a7a-4b34cf9a1619,23061cc2-9bef-4b14-97f9-5d3b062fa2c8,17:25.6,28:27.8,662.190122,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A3,It is an argument that the author has only limited interest in supporting or refuting,763206a4-2a6d-41d6-a72d-a4b0ac870a76,82c853e4-64e8-4ece-b044-042bc78b1252,It is an argument that the author has only limited interest in supporting or refuting,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,28f41de2-5647-4340-ae45-56bf5ae16b18,41a6c6a7-a54f-483f-824e-5426826600e9,01:43.0,03:56.4,133.38387,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,7c661ce4-828e-434b-869e-a76dce1498cc,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,214e181c-42f3-44d9-b66d-f36d4395cbbd,781ba935-32d6-4915-b097-f68635c10460,46:09.6,47:14.3,64.649299,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,3240412b-d4e2-4884-b238-7598b0e15789,16c8dfb8-8582-4902-b70a-9602fc41f9ed,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,77edb0f9-95ae-4083-9d26-e8553a69fe32,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2808,1911eaf9-45d3-4843-8856-d150a3653269,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,487e6d74-8247-4a9b-a13a-58ffc89da265,0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,46:52.4,07:59.8,1267.403909,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,d01350d1-25ff-4eb5-8dd8-923289b56808,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,1ecd949f-96a7-4349-869c-fced8ecaf4c5,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,ed257d2d-170d-47c6-8cb7-3c97d6754e61,3c387871-0619-43f5-8aaf-4c1a9849c740,16:34.4,22:25.8,351.365255,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,3240412b-d4e2-4884-b238-7598b0e15789,b5e920ed-4e2b-44b6-8fe0-0eb99c62faf2,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,1ecd949f-96a7-4349-869c-fced8ecaf4c5,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,bd30f446-ce90-44b6-b3ec-6fee6e9e7f1d,00f548b7-6b63-4b47-828e-8e416b6ca0e2,24:46.6,29:07.2,260.645255,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A1,It is the main argument of the entire article,6a4694fc-791e-4a72-b972-5e96317f8cbb,a0c30c4b-67e6-41a8-ab4c-c6dd6806f6fe,It is the main argument of the entire article,0,0,0,0,
Covid_ArgumentRelevance_2020_03_20v2,64ba62c32ac25cc8ca25584b1cd8f8dcf0af3b967970cd206d6419b3940e4630,51c3475d-b122-4dd4-926f-0c97dd52b8d0,https://pe.goodlylabs.org/project/Covid_ArgumentRelevancev1.2/task/2809,1ecd949f-96a7-4349-869c-fced8ecaf4c5,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,3,7,16681207-1d0b-477f-86e4-d3909272ad8d,570cd855-dfc7-4afd-9930-f45285d207bc,53:40.3,54:23.3,43.055475,Argument relevance,T1.Q1,How important is the argument in bolded text to the overall article?,T1.Q1.A2,It is one of a few arguments the author wants the audience to appreciate,3240412b-d4e2-4884-b238-7598b0e15789,7c021538-7041-4cb9-9e6c-bcdacb439b51,It is one of a few arguments the author wants the audience to appreciate,0,0,0,0,
