,Question,Question_type,Question_Subtype,Alpha,Number of Pairable Elements
0,T1.Q1,mc,ordinal,0.305074967594842,237
1,T1.Q5,mc,ordinal,0.23179111982413547,237
2,T1.Q6,mc,nominal,0.4016248723705452,237
3,T1.Q11,mc,ordinal,0.08660508309676462,237
4,T1.Q12,cl,T1.Q12.A3,0.2734254992319508,45
5,T1.Q12,cl,T1.Q12.A2,0.07226890756302518,45
6,T1.Q12,cl,T1.Q12.A4,0.02674897119341557,45
7,T1.Q12,cl,T1.Q12.A1,0.03296703296703296,45
8,T1.Q12,cl,T1.Q12.A5,-0.09999999999999987,45
9,T1.Q13,mc,ordinal,-0.04547095786043909,237
10,T1.Q14,mc,ordinal,-0.05233707217512973,237
11,T1.Q2,mc,ordinal,0.34797154354351045,120
12,T1.Q7,mc,ordinal,0.1223691376259991,49
13,T1.Q10,mc,ordinal,0.14003059978570187,49
