,Question,Question_type,Question_Subtype,Alpha,Number of Pairable Elements
0,T1.Q1,cl,T1.Q1.A1,0.13517220260911622,472
1,T1.Q1,cl,T1.Q1.A2,0.13517220260911622,472
2,T1.Q2,mc,ordinal,0.46717283584385294,473
3,T1.Q3,mc,nominal,0.38446853151584015,473
4,T1.Q5,cl,T1.Q5.A7,0.4198629336094083,466
5,T1.Q5,cl,T1.Q5.A6,0.0555917366905988,466
6,T1.Q5,cl,T1.Q5.A9,0.4298007879271426,466
7,T1.Q5,cl,T1.Q5.A5,0.09458164948029824,466
8,T1.Q5,cl,T1.Q5.A3,0.30140252255403566,466
9,T1.Q5,cl,T1.Q5.A8,0.17204802680531295,466
10,T1.Q5,cl,T1.Q5.A2,0.3305801161557741,466
11,T1.Q5,cl,T1.Q5.A4,0.0,466
12,T1.Q5,cl,T1.Q5.A1,0.7286731240518147,466
13,T1.Q6,cl,T1.Q6.A1,0.5718550968467552,455
14,T1.Q6,cl,T1.Q6.A2,0.5718550968467552,455
15,T1.Q7,cl,T1.Q7.A4,0.2937596044688413,472
16,T1.Q7,cl,T1.Q7.A6,0.1991885967421908,472
17,T1.Q7,cl,T1.Q7.A3,0.05782333839055864,472
18,T1.Q7,cl,T1.Q7.A1,0.2757190709483126,472
19,T1.Q7,cl,T1.Q7.A2,0.032791656560756666,472
20,T1.Q7,cl,T1.Q7.A5,0.0,472
21,T1.Q8,mc,nominal,0.13299171838873058,473
22,T1.Q9,mc,ordinal,-0.019119982594356655,473
23,T1.Q10,mc,ordinal,-0.017148697749389097,473
24,T1.Q4,cl,T1.Q4.A1,0.011046133853151341,141
25,T1.Q4,cl,T1.Q4.A9,0.03097587719298245,141
26,T1.Q4,cl,T1.Q4.A6,0.0,141
27,T1.Q4,cl,T1.Q4.A7,0.0,141
