,contributor_uuid,topic_name,start_pos,blank,end_pos,article_text_length,article_number,created,cumulative,start_pos_adjusted,end_pos_adjusted
0,00f548,2,113,,259,3885,2005,2020-03-19 15:43:21.602256,3885,113,259
1,00f548,2,699,,1058,3885,2005,2020-03-19 15:43:21.602256,3885,699,1058
2,00f548,2,1565,,1600,3885,2005,2020-03-19 15:43:21.602256,3885,1565,1600
3,00f548,2,1624,,1879,3885,2005,2020-03-19 15:43:21.602256,3885,1624,1879
4,00f548,2,1931,,2436,3885,2005,2020-03-19 15:43:21.602256,3885,1931,2436
5,00f548,2,2636,,2826,3885,2005,2020-03-19 15:43:21.602256,3885,2636,2826
6,00f548,2,2874,,3146,3885,2005,2020-03-19 15:43:21.602256,3885,2874,3146
7,00f548,2,3149,,3291,3885,2005,2020-03-19 15:43:21.602256,3885,3149,3291
8,00f548,2,3294,,3608,3885,2005,2020-03-19 15:43:21.602256,3885,3294,3608
9,343ecb,2,164,,370,3885,2005,2020-05-07 18:27:59.856639,3885,164,370
10,343ecb,2,592,,756,3885,2005,2020-05-07 18:27:59.856639,3885,592,756
11,343ecb,2,758,,1058,3885,2005,2020-05-07 18:27:59.856639,3885,758,1058
12,343ecb,2,1883,,2632,3885,2005,2020-05-07 18:27:59.856639,3885,1883,2632
13,343ecb,2,2636,,2826,3885,2005,2020-05-07 18:27:59.856639,3885,2636,2826
14,343ecb,2,2874,,3146,3885,2005,2020-05-07 18:27:59.856639,3885,2874,3146
15,343ecb,2,3147,,3149,3885,2005,2020-05-07 18:27:59.856639,3885,3147,3149
16,343ecb,2,3612,,3811,3885,2005,2020-05-07 18:27:59.856639,3885,3612,3811
17,76f739,2,2829,,2872,3885,2005,2020-09-13 21:51:52.005354,3885,2829,2872
18,76f739,2,3726,,3811,3885,2005,2020-09-13 21:51:52.005354,3885,3726,3811
19,8f5ca4,2,183,,370,3885,2005,2020-05-07 18:14:22.876645,3885,183,370
20,8f5ca4,2,592,,2436,3885,2005,2020-05-07 18:14:22.876645,3885,592,2436
21,8f5ca4,2,2440,,2826,3885,2005,2020-05-07 18:14:22.876645,3885,2440,2826
22,8f5ca4,2,2829,,3146,3885,2005,2020-05-07 18:14:22.876645,3885,2829,3146
23,bd7860,2,262,,370,3885,2005,2020-03-19 17:06:08.423429,3885,262,370
24,bd7860,2,699,,756,3885,2005,2020-03-19 17:06:08.423429,3885,699,756
25,bd7860,2,824,,879,3885,2005,2020-03-19 17:06:08.423429,3885,824,879
26,bd7860,2,2133,,2208,3885,2005,2020-03-19 17:06:08.423429,3885,2133,2208
27,bd7860,2,3240,,3291,3885,2005,2020-03-19 17:06:08.423429,3885,3240,3291
28,bd7860,2,3623,,3811,3885,2005,2020-03-19 17:06:08.423429,3885,3623,3811
29,e08341,2,113,,259,3885,2005,2020-03-19 17:03:03.105138,3885,113,259
30,e08341,2,262,,370,3885,2005,2020-03-19 17:03:03.105138,3885,262,370
31,e08341,2,758,,879,3885,2005,2020-03-19 17:03:03.105138,3885,758,879
32,e08341,2,882,,1512,3885,2005,2020-03-19 17:03:03.105138,3885,882,1512
33,e08341,2,1624,,2436,3885,2005,2020-03-19 17:03:03.105138,3885,1624,2436
34,e08341,2,2440,,3146,3885,2005,2020-03-19 17:03:03.105138,3885,2440,3146
35,f3a07c,2,726,,879,3885,2005,2020-07-02 18:06:51.067874,3885,726,879
36,f3a07c,2,882,,1058,3885,2005,2020-07-02 18:06:51.067874,3885,882,1058
37,f3a07c,2,1064,,1562,3885,2005,2020-07-02 18:06:51.067874,3885,1064,1562
38,f3a07c,2,1624,,1879,3885,2005,2020-07-02 18:06:51.067874,3885,1624,1879
39,f3a07c,2,1931,,2129,3885,2005,2020-07-02 18:06:51.067874,3885,1931,2129
40,f3a07c,2,2211,,2436,3885,2005,2020-07-02 18:06:51.067874,3885,2211,2436
41,f3a07c,2,2488,,2632,3885,2005,2020-07-02 18:06:51.067874,3885,2488,2632
42,f3a07c,2,2874,,3146,3885,2005,2020-07-02 18:06:51.067874,3885,2874,3146
43,343ecb,2,156,,333,1870,100054,2020-05-07 18:28:02.553723,5755,4041,4218
44,343ecb,2,337,,542,1870,100054,2020-05-07 18:28:02.553723,5755,4222,4427
45,343ecb,2,545,,776,1870,100054,2020-05-07 18:28:02.553723,5755,4430,4661
46,343ecb,2,953,,1100,1870,100054,2020-05-07 18:28:02.553723,5755,4838,4985
47,343ecb,2,1104,,1240,1870,100054,2020-05-07 18:28:02.553723,5755,4989,5125
48,343ecb,2,1243,,1397,1870,100054,2020-05-07 18:28:02.553723,5755,5128,5282
49,343ecb,2,1490,,1540,1870,100054,2020-05-07 18:28:02.553723,5755,5375,5425
50,343ecb,2,1543,,1744,1870,100054,2020-05-07 18:28:02.553723,5755,5428,5629
51,76f739,2,545,,588,1870,100054,2020-09-13 21:51:52.105173,5755,4430,4473
52,8f5ca4,2,152,,287,1870,100054,2020-05-07 18:14:23.027948,5755,4037,4172
53,8f5ca4,2,293,,333,1870,100054,2020-05-07 18:14:23.027948,5755,4178,4218
54,8f5ca4,2,337,,445,1870,100054,2020-05-07 18:14:23.027948,5755,4222,4330
55,8f5ca4,2,545,,776,1870,100054,2020-05-07 18:14:23.027948,5755,4430,4661
56,8f5ca4,2,780,,1100,1870,100054,2020-05-07 18:14:23.027948,5755,4665,4985
57,8f5ca4,2,1104,,1240,1870,100054,2020-05-07 18:14:23.027948,5755,4989,5125
58,8f5ca4,2,1243,,1314,1870,100054,2020-05-07 18:14:23.027948,5755,5128,5199
59,8f5ca4,2,1316,,1397,1870,100054,2020-05-07 18:14:23.027948,5755,5201,5282
60,8f5ca4,2,1490,,1540,1870,100054,2020-05-07 18:14:23.027948,5755,5375,5425
61,8f5ca4,2,1543,,1744,1870,100054,2020-05-07 18:14:23.027948,5755,5428,5629
62,8f5ca4,2,1747,,1868,1870,100054,2020-05-07 18:14:23.027948,5755,5632,5753
63,aac18e,2,136,,287,1870,100054,2020-03-18 00:15:42.364545,5755,4021,4172
64,aac18e,2,563,,776,1870,100054,2020-03-18 00:15:42.364545,5755,4448,4661
65,aac18e,2,651,,667,1870,100054,2020-03-18 00:15:42.364545,5755,4536,4552
66,bd7860,2,152,,333,1870,100054,2020-03-18 00:25:58.483654,5755,4037,4218
67,bd7860,2,595,,776,1870,100054,2020-03-18 00:25:58.483654,5755,4480,4661
68,bd7860,2,888,,1100,1870,100054,2020-03-18 00:25:58.483654,5755,4773,4985
69,bd7860,2,1243,,1397,1870,100054,2020-03-18 00:25:58.483654,5755,5128,5282
70,bd7860,2,1543,,1744,1870,100054,2020-03-18 00:25:58.483654,5755,5428,5629
71,e08341,2,152,,333,1870,100054,2020-03-18 00:25:55.039016,5755,4037,4218
72,e08341,2,595,,776,1870,100054,2020-03-18 00:25:55.039016,5755,4480,4661
73,e08341,2,888,,1100,1870,100054,2020-03-18 00:25:55.039016,5755,4773,4985
74,e08341,2,1104,,1397,1870,100054,2020-03-18 00:25:55.039016,5755,4989,5282
75,e08341,2,1400,,1744,1870,100054,2020-03-18 00:25:55.039016,5755,5285,5629
76,f91436,2,152,,333,1870,100054,2020-03-19 16:03:35.853645,5755,4037,4218
77,f91436,2,651,,776,1870,100054,2020-03-19 16:03:35.853645,5755,4536,4661
78,f91436,2,1653,,1744,1870,100054,2020-03-19 16:03:35.853645,5755,5538,5629
79,00f548,2,609,,827,3598,100055,2020-03-19 15:43:21.718835,9353,6364,6582
80,00f548,2,1433,,1637,3598,100055,2020-03-19 15:43:21.718835,9353,7188,7392
81,00f548,2,1786,,1888,3598,100055,2020-03-19 15:43:21.718835,9353,7541,7643
82,00f548,2,2306,,2528,3598,100055,2020-03-19 15:43:21.718835,9353,8061,8283
83,00f548,2,2834,,3208,3598,100055,2020-03-19 15:43:21.718835,9353,8589,8963
84,0b2ee3,2,1299,,1409,3598,100055,2020-03-19 17:30:54.902158,9353,7054,7164
85,343ecb,2,164,,415,3598,100055,2020-05-07 18:49:18.525140,9353,5919,6170
86,343ecb,2,418,,606,3598,100055,2020-05-07 18:49:18.525140,9353,6173,6361
87,343ecb,2,609,,827,3598,100055,2020-05-07 18:49:18.525140,9353,6364,6582
88,343ecb,2,830,,1248,3598,100055,2020-05-07 18:49:18.525140,9353,6585,7003
89,343ecb,2,1251,,1409,3598,100055,2020-05-07 18:49:18.525140,9353,7006,7164
90,343ecb,2,1412,,1637,3598,100055,2020-05-07 18:49:18.525140,9353,7167,7392
91,343ecb,2,1640,,1783,3598,100055,2020-05-07 18:49:18.525140,9353,7395,7538
92,343ecb,2,1786,,1888,3598,100055,2020-05-07 18:49:18.525140,9353,7541,7643
93,343ecb,2,1892,,2067,3598,100055,2020-05-07 18:49:18.525140,9353,7647,7822
94,343ecb,2,2085,,2303,3598,100055,2020-05-07 18:49:18.525140,9353,7840,8058
95,343ecb,2,2306,,2528,3598,100055,2020-05-07 18:49:18.525140,9353,8061,8283
96,343ecb,2,2531,,2723,3598,100055,2020-05-07 18:49:18.525140,9353,8286,8478
97,343ecb,2,2834,,3208,3598,100055,2020-05-07 18:49:18.525140,9353,8589,8963
98,343ecb,2,3435,,3596,3598,100055,2020-05-07 18:49:18.525140,9353,9190,9351
99,8f5ca4,2,243,,322,3598,100055,2020-05-07 18:49:07.275720,9353,5998,6077
100,8f5ca4,2,463,,523,3598,100055,2020-05-07 18:49:07.275720,9353,6218,6278
101,8f5ca4,2,565,,606,3598,100055,2020-05-07 18:49:07.275720,9353,6320,6361
102,8f5ca4,2,623,,827,3598,100055,2020-05-07 18:49:07.275720,9353,6378,6582
103,8f5ca4,2,910,,1248,3598,100055,2020-05-07 18:49:07.275720,9353,6665,7003
104,8f5ca4,2,1251,,1409,3598,100055,2020-05-07 18:49:07.275720,9353,7006,7164
105,8f5ca4,2,1463,,1637,3598,100055,2020-05-07 18:49:07.275720,9353,7218,7392
